city,state,time_date,sun_hourly,sun_daily,condition_code
rochester,ny,2019-08-16 22:00:00,NaN,NaN,25.0
schertz,tx,2019-08-16 21:00:00,NaN,NaN,2.0
denver,co,2019-08-13 23:00:00,NaN,NaN,2.0
brigantine,nj,2019-08-10 21:00:00,NaN,NaN,2.0
isleofpalms,sc,2019-08-05 22:00:00,NaN,NaN,25.0
marcushook,pa,2019-08-05,NaN,NaN,4.0
centreville,va,2019-07-20 23:00:00,NaN,NaN,2.0
somerville,,2019-07-20 04:00:00,NaN,NaN,2.0
saltlakecity,ut,2019-07-15 01:00:00,NaN,NaN,2.0
coloradosprings,co,2019-07-10 19:00:00,NaN,NaN,1.0
calabasas,ca,2019-07-09 06:00:00,NaN,NaN,3.0
billings,mt,2019-07-08 01:00:00,NaN,NaN,17.0
bernalillo,nm,2019-07-04 22:00:00,NaN,NaN,2.0
marlton,nj,2019-07-01 21:00:00,NaN,NaN,3.0
canton,ct,2019-06-28 21:00:00,NaN,NaN,3.0
maardu(estonia),,2019-06-24 22:00:00,NaN,NaN,2.0
lasvegas,nv,2019-06-23 14:00:00,NaN,NaN,1.0
liberty,mo,2019-06-20 19:00:00,NaN,NaN,7.0
dunbar,wv,2019-06-13 19:00:00,NaN,NaN,25.0
liverpool,,2019-05-29 05:00:00,NaN,NaN,4.0
mesa,az,2019-05-24 14:00:00,NaN,NaN,2.0
coloradosprings,,2019-05-21 20:00:00,NaN,NaN,0.0
franklin,tn,2019-05-06 12:00:00,NaN,NaN,2.0
pompanobeach,fl,2019-05-04 03:00:00,NaN,NaN,7.0
losangeles,ca,2019-05-01 03:00:00,NaN,NaN,3.0
harlem,ny,2019-04-11 18:00:00,NaN,NaN,3.0
scottsdale,az,2019-04-10 19:00:00,NaN,NaN,2.0
sanantonio,tx,2019-04-09,NaN,NaN,2.0
chicago,il,2019-04-02 21:00:00,NaN,NaN,4.0
gilbert,az,2019-04-01 23:00:00,NaN,NaN,3.0
gilbert,az,2019-04-01 23:00:00,NaN,NaN,3.0
tucson,az,2019-03-23 16:00:00,NaN,NaN,1.0
harahan,la,2019-03-10 22:00:00,NaN,NaN,3.0
warrenville,sc,2019-02-26 21:00:00,NaN,NaN,1.0
bonneylake,wa,2019-02-24 21:00:00,NaN,NaN,0.0
vancouver(canada),bc,2019-02-24 15:00:00,NaN,NaN,4.0
chicopee,ma,2019-02-12 19:00:00,NaN,NaN,15.0
capecanaveral,fl,2019-02-12 02:00:00,NaN,NaN,5.0
