st.louis, mo, 2020-11-01 06:47:00, H: NaN, D: NaN, COCO: NaN
houston, tx, 2020-11-01 06:25:00, H: NaN, D: NaN, COCO: NaN
kansascity, mo, 2020-10-31 21:06:00, H: NaN, D: NaN, COCO: NaN
lilesville, nc, 2020-10-31 21:00:00, H: NaN, D: NaN, COCO: 5.0
hanover, md, 2020-10-31 07:00:00, H: NaN, D: NaN, COCO: 3.0
manchester, ct, 2020-10-30 17:25:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-10-30 13:55:00, H: NaN, D: NaN, COCO: NaN
manchester, ct, 2020-10-29 16:39:00, H: NaN, D: NaN, COCO: NaN
norwalk, ct, 2020-10-28 16:10:00, H: NaN, D: NaN, COCO: NaN
littlerock, ca, 2020-10-28 12:56:00, H: NaN, D: NaN, COCO: NaN
st.peter, mn, 2020-10-26 10:11:00, H: NaN, D: NaN, COCO: NaN
northport, fl, 2020-10-26 08:01:00, H: NaN, D: NaN, COCO: NaN
irmo, sc, 2020-10-26 06:23:00, H: NaN, D: NaN, COCO: NaN
garrettsville, oh, 2020-10-25 23:32:00, H: NaN, D: NaN, COCO: NaN
irmo, sc, 2020-10-24 22:05:00, H: NaN, D: NaN, COCO: NaN
columbia, mo, 2020-10-24 20:04:00, H: NaN, D: NaN, COCO: NaN
clarksville, tn, 2020-10-24 17:35:00, H: NaN, D: NaN, COCO: NaN
seattle, wa, 2020-10-24 06:30:00, H: NaN, D: NaN, COCO: NaN
northbrook, il, 2020-10-23 21:09:00, H: NaN, D: NaN, COCO: NaN
kansascity, mo, 2020-10-23 10:17:00, H: NaN, D: NaN, COCO: NaN
mountlaketerrace, wa, 2020-10-23 09:21:00, H: NaN, D: NaN, COCO: NaN
hanover, md, 2020-10-23 06:55:00, H: NaN, D: NaN, COCO: NaN
tyler, tx, 2020-10-22 20:30:00, H: NaN, D: NaN, COCO: NaN
edmonds, wa, 2020-10-22 12:17:00, H: NaN, D: NaN, COCO: NaN
millerton, pa, 2020-10-22 03:45:00, H: NaN, D: NaN, COCO: NaN
boise, id, 2020-10-21 21:07:00, H: NaN, D: NaN, COCO: NaN
newyork, ny, 2020-10-21 17:52:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-10-21 09:52:00, H: NaN, D: NaN, COCO: NaN
