name, state, date, time
New York City (Manhattan), NY, 8/27/14, 08:20
New York City (Brooklyn), NY, 6/22/14, 22:17
New York City (Bronx), NY, 6/11/14, 21:50
New York City (Queens; Forest Hills), NY, 1/9/14, 11:45
New York City (Bronx), NY, 7/29/13, 21:50
New York City (Brooklyn), NY, 11/19/12, 00:35
New York City (Brooklyn), NY, 8/24/11, 21:00
New York City (Manhattan), NY, 5/22/11, 19:31
New York City (Queens), NY, 4/18/11, 22:05
New York, NY, 1/16/11, 22:10
New York City (Brooklyn), NY, 7/3/08, 01:30
New York City (Brooklyn), NY, 6/30/07, 18:35
New York City (Manhattan), NY, 5/2/07, 20:00
New York City (Brooklyn), NY, 11/12/06, 13:00
New York City (Manhattan), NY, 3/13/06, 22:56
New York, NY, 9/11/01, 09:05
New York City (Manhattan), NY, 8/7/99, 17:00
New York, NY, 6/10/95, 23:00
New York City (Brooklyn), NY, 7/5/20, 17:15
New York City (Brooklyn), NY, 5/27/20, 10:34
New York, NY, 11/30/19, 12:13
New York (Queens; Woodside), NY, 5/9/19, 22:20
New York, NY, 9/16/18, 00:00
New York City (Brooklyn), NY, 10/20/17, 16:00
New York City (Brooklyn), NY, 10/10/17, 16:20
New York, NY, 12/30/16, 00:00
New York City (Manhattan), NY, 12/6/16, 17:00
New York City (Bronx), NY, 8/29/16, 00:20
New York City (Manhattan), NY, 8/16/16, 02:47
New York City (Middle Village), NY, 8/12/16, 20:30
New York City (Maspeth), NY, 7/4/15, 23:48
New York City, NY, 6/22/15, 03:00
New York City (Manhattan), NY, 12/21/14, 00:00
New York City (Queens/Whitestone), NY, 5/28/11, 22:00
New York City (Queens), NY, 3/4/11, 11:15
New York City (Bronx), NY, 5/25/10, 21:30
New York City, NY, 10/9/09, 19:30
New York City, NY, 3/31/09, 00:11
New York City, NY, 1/5/09, 20:30
New York City (Brooklyn), NY, 6/18/08, 10:30
New York City, NY, 2/7/08, 06:33
New York City, NY, 12/24/07, 02:00
New York City (Bronx), NY, 9/7/07, 00:00
New York City (Brooklyn), NY, 5/30/07, 14:18
New York City (Queens), NY, 5/13/07, 18:20
New York City (Bronx), NY, 2/24/07, 21:00
New York City (Manhattan), NY, 10/2/06, 23:15
New York City (Manhattan), CA, 9/22/06, 06:45
New York City (Queens), NY, 6/20/06, 10:45
New York City (Brooklyn), NY, 6/15/05, 15:00
New York City, NY, 6/1/89, 23:00
